supercategory,name
lowerbody,pants
upperbody,"shirt, blouse"
upperbody,jacket
upperbody,"top, t-shirt, sweatshirt"
wholebody,dress
legs and feet,shoe
head,glasses
lowerbody,skirt
others,"bag, wallet"
waist,belt
head,"headband, head covering, hair accessory"
legs and feet,sock
head,hat
arms and hands,watch
arms and hands,glove
legs and feet,"tights, stockings"
upperbody,sweater
neck,tie
lowerbody,shorts
others,scarf
wholebody,coat
upperbody,vest
others,umbrella
upperbody,cardigan
wholebody,cape
wholebody,jumpsuit
legs and feet,leg warmer
